kecamatan,crime_total,street_crime,street_crime_evening,crime_year,public_safety_points,crime_classification_coverage,public_safety_evening_points,evening_classification_coverage,severity_2_count,severity_3_count,severity_4_count
KEBAYORAN BARU,1008,332,57,2026,586,0.7004,108,0.7098,262,84,12
KEMAYORAN,911,366,100,2026,552,0.6894,130,0.662,321,63,7
CENGKARENG,680,189,42,2026,466,0.6456,96,0.6712,163,79,11
CAKUNG,640,185,34,2026,459,0.6438,113,0.5833,126,79,16
TANJUNG PRIOK,586,168,26,2026,429,0.6416,89,0.5714,153,70,11
SETIA BUDI,717,220,42,2026,421,0.6764,89,0.7143,172,69,7
JATINEGARA,589,185,31,2026,381,0.6367,78,0.629,153,64,6
TANAH ABANG,584,178,30,2026,374,0.6695,67,0.6807,161,53,9
DUREN SAWIT,627,195,46,2026,348,0.6603,95,0.7321,162,50,6
KALI DERES,506,144,37,2026,345,0.6403,81,0.5873,114,57,10
PULO GADUNG,448,135,23,2026,334,0.6696,55,0.6962,94,60,10
GROGOL PETAMBURAN,610,153,41,2026,332,0.6639,95,0.6803,131,41,13
KEBAYORAN LAMA,615,154,26,2026,327,0.6569,61,0.6434,132,43,11
SAWAH BESAR,494,168,36,2026,323,0.6377,71,0.6842,158,37,9
KRAMAT JATI,418,126,19,2026,306,0.6938,50,0.7308,99,63,3
KOJA,366,126,22,2026,278,0.6038,54,0.625,110,46,5
CILINCING,358,100,14,2026,273,0.5922,45,0.5625,66,59,5
KEBON JERUK,555,125,30,2026,271,0.555,74,0.5714,115,46,3
TAMAN SARI,358,93,16,2026,252,0.595,61,0.5915,102,42,4
PENJARINGAN,453,90,19,2026,246,0.6556,48,0.6064,93,39,6
MENTENG,769,148,35,2026,246,0.3693,66,0.3417,114,40,2
CILANDAK,530,110,29,2026,238,0.6415,62,0.6724,88,38,6
JAGAKARSA,501,104,13,2026,237,0.5928,32,0.5269,93,28,10
MAMPANG PRAPATAN,352,82,11,2026,225,0.6506,29,0.6667,60,37,9
MAKASAR,322,116,23,2026,219,0.7081,51,0.7385,99,28,6
MATRAMAN,279,90,16,2026,212,0.681,41,0.5965,86,34,4
KEMBANGAN,418,90,17,2026,205,0.6053,41,0.618,67,32,7
PASAR MINGGU,421,78,11,2026,198,0.6817,25,0.6849,69,29,7
TAMBORA,262,76,16,2026,197,0.6603,34,0.5926,56,33,7
PALMERAH,374,73,18,2026,196,0.607,46,0.6098,70,26,8
GAMBIR,404,93,26,2026,181,0.6485,53,0.641,85,24,4
PESANGGRAHAN,285,72,10,2026,169,0.6351,27,0.5532,49,34,3
PADEMANGAN,319,87,20,2026,168,0.5674,38,0.6087,93,13,6
CIRACAS,326,70,16,2026,166,0.6227,49,0.6613,70,20,6
SENEN,293,74,16,2026,162,0.6587,33,0.661,90,14,5
TEBET,436,71,15,2026,159,0.6147,32,0.6136,66,29,1
PANCORAN,313,61,8,2026,152,0.5847,20,0.5469,47,19,8
PASAR REBO,301,79,10,2026,146,0.5615,23,0.5472,71,19,3
CEMPAKA PUTIH,286,66,16,2026,143,0.5979,34,0.6,50,15,8
CIPAYUNG,315,58,14,2026,134,0.5778,36,0.6418,47,21,4
KELAPA GADING,356,68,9,2026,133,0.5562,18,0.4098,52,23,2
JOHAR BARU,185,57,12,2026,120,0.5946,32,0.625,42,20,3
KEPULAUAN SERIBU UTARA,18,8,0,2026,17,0.8333,0,1.0,5,4,0
KEPULAUAN SERIBU SELATAN,14,3,0,2026,9,0.7857,0,0.0,0,3,0
