year,kecamatan,jenis_kejahatan,crime_total
2024,CAKUNG,Cabul,2
2024,CAKUNG,Curanmor R-2,1
2024,CAKUNG,Kejahatan Tentang Desain Industri,1
2024,CAKUNG,Kejahatan Tentang Jaminan Fidusia,1
2024,CAKUNG,Kejahatan Terkait Perlindungan Data Pribadi,1
2024,CAKUNG,Kejahatan Terkait Senjata Tajam ( Sajam ) ( Premanisme ),3
2024,CAKUNG,Kekerasan Dalam Rumah Tangga,17
2024,CAKUNG,Manipulasi data autentik secara elektronik (ITE),85
2024,CAKUNG,Memasuki Pekarangan Tanpa Ijin,6
2024,CAKUNG,Narkotika ( Narkoba ),15
2024,CAKUNG,Pemalsuan Surat Otentik,2
2024,CAKUNG,Pembunuhan,1
2024,CAKUNG,Pemerasan,13
2024,CAKUNG,Pemerasan Dan Pengancaman,1
2024,CAKUNG,Penadahan,1
2024,CAKUNG,Pencemaran Nama Baik,3
2024,CAKUNG,Penculikan,1
2024,CAKUNG,Pencurian Biasa,48
2024,CAKUNG,Pencurian Dengan Kekerasan ( Curas ),1
2024,CAKUNG,Pencurian Dengan Pemberatan ( Curat ),42
2024,CAKUNG,Pencurian dalam lingkungan keluarga,1
2024,CAKUNG,Pengancaman,1
2024,CAKUNG,Penganiayaan,28
2024,CAKUNG,Penganiayaan Berat ( Anirat ),12
2024,CAKUNG,Pengeroyokan,26
2024,CAKUNG,Pengerusakan,1
2024,CAKUNG,Penggelapan,49
2024,CAKUNG,Penghinaan,1
2024,CAKUNG,Penipuan / Perbuatan Curang,58
2024,CAKUNG,Perampasan ( Premanisme ),1
2024,CAKUNG,Perbuatan Yang Tidak Menyenangkan,4
2024,CAKUNG,Perzinahan,2
2024,CAKUNG,Sumpah Palsu Dan Keterangan Palsu,4
2024,CAKUNG,Terhadap ketertiban umum,2
2024,CAKUNG,Tindak Pidana Dalam Perlindungan Anak,6
2024,CAKUNG,Tindak Pidana Transfer Dana,1
2024,CAKUNG,UNCLASSIFIED,390
2024,CEMPAKA PUTIH,Curanmor R-2,4
2024,CEMPAKA PUTIH,Kejahatan Tentang Tenaga Kerja,2
2024,CEMPAKA PUTIH,Kekerasan Dalam Rumah Tangga,5
2024,CEMPAKA PUTIH,Kekerasan Seksual (KDRT),1
2024,CEMPAKA PUTIH,Manipulasi data autentik secara elektronik (ITE),12
2024,CEMPAKA PUTIH,Memasuki Pekarangan Tanpa Ijin,1
2024,CEMPAKA PUTIH,Narkotika ( Narkoba ),12
2024,CEMPAKA PUTIH,Pemalsuan Surat Otentik,5
2024,CEMPAKA PUTIH,Pencemaran Nama Baik,1
2024,CEMPAKA PUTIH,Penculikan,1
2024,CEMPAKA PUTIH,Pencurian Biasa,18
2024,CEMPAKA PUTIH,Pencurian Dengan Kekerasan ( Curas ),1
2024,CEMPAKA PUTIH,Pencurian Dengan Pemberatan ( Curat ),18
2024,CEMPAKA PUTIH,Pencurian dalam lingkungan keluarga,1
2024,CEMPAKA PUTIH,Penganiayaan,7
2024,CEMPAKA PUTIH,Pengeroyokan,7
2024,CEMPAKA PUTIH,Pengerusakan,1
2024,CEMPAKA PUTIH,Penggelapan,10
2024,CEMPAKA PUTIH,Penipuan / Perbuatan Curang,22
2024,CEMPAKA PUTIH,Penistaan Agama,1
2024,CEMPAKA PUTIH,Perbuatan Yang Tidak Menyenangkan,2
2024,CEMPAKA PUTIH,Tindak Asusila,1
2024,CEMPAKA PUTIH,Tindak Pidana Dalam Perlindungan Anak,7
2024,CEMPAKA PUTIH,UNCLASSIFIED,127
2024,CENGKARENG,Curanmor R-2,2
2024,CENGKARENG,Judi,3
2024,CENGKARENG,Kawin halangan/kawin tanpa ijin,1
2024,CENGKARENG,Kejahatan Tentang Tenaga Kerja,1
2024,CENGKARENG,Kejahatan Terkait Merek,1
2024,CENGKARENG,Kejahatan Terkait Senjata Tajam ( Sajam ) ( Premanisme ),2
2024,CENGKARENG,Kekerasan Dalam Rumah Tangga,9
2024,CENGKARENG,Kekerasan Seksual (KDRT),2
2024,CENGKARENG,Manipulasi data autentik secara elektronik (ITE),13
2024,CENGKARENG,Memasuki Pekarangan Tanpa Ijin,5
2024,CENGKARENG,Narkotika ( Narkoba ),40
2024,CENGKARENG,Pemalsuan Surat Otentik,3
2024,CENGKARENG,Pemerasan,4
2024,CENGKARENG,Pemerasan Dan Pengancaman,1
2024,CENGKARENG,Pencemaran Nama Baik,4
2024,CENGKARENG,Penculikan,1
2024,CENGKARENG,Pencurian Biasa,26
2024,CENGKARENG,Pencurian Dengan Kekerasan ( Curas ),4
2024,CENGKARENG,Pencurian Dengan Pemberatan ( Curat ),26
2024,CENGKARENG,Pencurian dalam lingkungan keluarga,1
2024,CENGKARENG,Pengaduan Palsu,1
2024,CENGKARENG,Penganiayaan,50
2024,CENGKARENG,Penganiayaan Berat ( Anirat ),3
2024,CENGKARENG,Pengeroyokan,15
2024,CENGKARENG,Pengerusakan,1
2024,CENGKARENG,Penggelapan,48
2024,CENGKARENG,Penghinaan,1
2024,CENGKARENG,Penipuan / Perbuatan Curang,32
2024,CENGKARENG,Penyerobotan Tanah,2
2024,CENGKARENG,Perbuatan Yang Tidak Menyenangkan,2
2024,CENGKARENG,Perkosaan,1
2024,CENGKARENG,Persetubuhan Terhadap Anak / Cabul Terhadap Anak,3
2024,CENGKARENG,Perzinahan,1
2024,CENGKARENG,Sumpah Palsu Dan Keterangan Palsu,1
2024,CENGKARENG,Terhadap ketertiban umum,31
2024,CENGKARENG,Tindak Pidana Dalam Perlindungan Anak,4
2024,CENGKARENG,Tindak Pidana Transfer Dana,1
2024,CENGKARENG,UNCLASSIFIED,259
2024,CILANDAK,Curanmor R-2,3
2024,CILANDAK,Judi,1
2024,CILANDAK,Kejahatan Tentang Jaminan Fidusia,5
2024,CILANDAK,Kejahatan Terkait Perlindungan Data Pribadi,3
2024,CILANDAK,Kejahatan terkait Tenaga Kesehatan,1
2024,CILANDAK,Kekerasan Dalam Rumah Tangga,9
2024,CILANDAK,Kekerasan Seksual (KDRT),6
2024,CILANDAK,Manipulasi data autentik secara elektronik (ITE),33
2024,CILANDAK,Memasuki Pekarangan Tanpa Ijin,1
2024,CILANDAK,Narkotika ( Narkoba ),18
2024,CILANDAK,Pemalsuan Surat Otentik,1
2024,CILANDAK,Pemerasan,2
2024,CILANDAK,Pemerasan Dan Pengancaman,1
2024,CILANDAK,Pencemaran Nama Baik,4
2024,CILANDAK,Pencurian Biasa,21
2024,CILANDAK,Pencurian Dengan Kekerasan ( Curas ),1
2024,CILANDAK,Pencurian Dengan Pemberatan ( Curat ),12
2024,CILANDAK,Pengancaman,1
2024,CILANDAK,Penganiayaan,16
2024,CILANDAK,Penganiayaan Berat ( Anirat ),1
2024,CILANDAK,Pengeroyokan,8
2024,CILANDAK,Penggelapan,40
2024,CILANDAK,Penghinaan,1
2024,CILANDAK,Penipuan / Perbuatan Curang,51
2024,CILANDAK,Penistaan Agama,1
2024,CILANDAK,Perbankan,1
