year,polda,polres,polsek,kecamatan,jenis_kejahatan,crime_total
2024,POLDA METRO JAYA,,,,,1
2024,POLDA METRO JAYA,,,,Cukai,1
2024,POLDA METRO JAYA,,,,Curanmor R-2,5
2024,POLDA METRO JAYA,,,,Hak Atas Kekayaan Intelektual ( HAKI ),8
2024,POLDA METRO JAYA,,,,Illegal Fishing,12
2024,POLDA METRO JAYA,,,,Judi,5
2024,POLDA METRO JAYA,,,,Kejahatan Pasar Modal,1
2024,POLDA METRO JAYA,,,,Kejahatan Tentang Desain Industri,1
2024,POLDA METRO JAYA,,,,Kejahatan Tentang Jaminan Fidusia,5
2024,POLDA METRO JAYA,,,,Kejahatan Tentang Konservasi Sumber Daya Alam Hayati Dan Ekosistem,1
2024,POLDA METRO JAYA,,,,Kejahatan Tentang Minyak Dan Gas  ( MIGAS ),3
2024,POLDA METRO JAYA,,,,Kejahatan Tentang Perdagangan,8
2024,POLDA METRO JAYA,,,,Kejahatan Tentang Perindustrian,2
2024,POLDA METRO JAYA,,,,Kejahatan Tentang Tenaga Kerja,14
2024,POLDA METRO JAYA,,,,Kejahatan Terhadap Jiwa Orang / Pembunuhan,2
2024,POLDA METRO JAYA,,,,Kejahatan Terhadap Penguasa Umum,1
2024,POLDA METRO JAYA,,,,Kejahatan Terkait Kearsipan,1
2024,POLDA METRO JAYA,,,,Kejahatan Terkait Merek,15
2024,POLDA METRO JAYA,,,,Kejahatan Terkait Perlindungan Data Pribadi,3
2024,POLDA METRO JAYA,,,,Kejahatan Terkait Rahasia Dagang,1
2024,POLDA METRO JAYA,,,,Kejahatan Terkait Senjata Tajam ( Sajam ),1
2024,POLDA METRO JAYA,,,,Kejahatan terkait Pemilihan Umum,2
2024,POLDA METRO JAYA,,,,Kejahatan terkait Tenaga Kesehatan,4
2024,POLDA METRO JAYA,,,,Kekerasan Dalam Rumah Tangga,11
2024,POLDA METRO JAYA,,,,Kekerasan Seksual (KDRT),15
2024,POLDA METRO JAYA,,,,"Konflik Suku, Agama, Ras, dan Antar Golongan (SARA)",2
2024,POLDA METRO JAYA,,,,Korupsi ( Tipikor ),2
2024,POLDA METRO JAYA,,,,Manipulasi data autentik secara elektronik (ITE),959
2024,POLDA METRO JAYA,,,,Memasuki Pekarangan Tanpa Ijin,10
2024,POLDA METRO JAYA,,,,Mengakibatkan Orang Luka,6
2024,POLDA METRO JAYA,,,,Mengakibatkan Orang Mati,3
2024,POLDA METRO JAYA,,,,Menghambat Penyidikan,1
2024,POLDA METRO JAYA,,,,Menjual atau mengedarkan obat keras / bebas terbatas tanpa ijin,1
2024,POLDA METRO JAYA,,,,Narkotika ( Narkoba ),263
2024,POLDA METRO JAYA,,,,Pemalsuan Mata Uang Dan Uang Kertas,2
2024,POLDA METRO JAYA,,,,Pemalsuan Surat Otentik,100
2024,POLDA METRO JAYA,,,,Pemerasan Dan Pengancaman,10
2024,POLDA METRO JAYA,,,,Penadahan,2
2024,POLDA METRO JAYA,,,,Pencemaran Nama Baik,12
2024,POLDA METRO JAYA,,,,Pencurian Biasa,49
2024,POLDA METRO JAYA,,,,Pencurian Dengan Kekerasan ( Curas ),8
2024,POLDA METRO JAYA,,,,Pencurian Dengan Pemberatan ( Curat ),62
2024,POLDA METRO JAYA,,,,Pencurian dalam lingkungan keluarga,2
2024,POLDA METRO JAYA,,,,Pengaduan Palsu,10
2024,POLDA METRO JAYA,,,,Pengancaman,3
2024,POLDA METRO JAYA,,,,Penganiayaan,15
2024,POLDA METRO JAYA,,,,Penganiayaan Berat ( Anirat ),2
2024,POLDA METRO JAYA,,,,Pengeroyokan,11
2024,POLDA METRO JAYA,,,,Pengerusakan,9
2024,POLDA METRO JAYA,,,,Penggelapan,156
2024,POLDA METRO JAYA,,,,Penghinaan,2
2024,POLDA METRO JAYA,,,,Penipuan / Perbuatan Curang,412
2024,POLDA METRO JAYA,,,,Penistaan Agama,2
2024,POLDA METRO JAYA,,,,Penyalahgunaan Wewenang,1
2024,POLDA METRO JAYA,,,,Penyebaran Berita Bohong ( Hoax ),2
2024,POLDA METRO JAYA,,,,Penyekapan,3
2024,POLDA METRO JAYA,,,,Penyerobotan Tanah,4
2024,POLDA METRO JAYA,,,,Perampasan ( Premanisme ),3
2024,POLDA METRO JAYA,,,,Perbankan,7
2024,POLDA METRO JAYA,,,,Perbuatan Yang Tidak Menyenangkan,4
2024,POLDA METRO JAYA,,,,Perdagangan Manusia / Trafficking In Person / Tppo (dalam Negeri),2
2024,POLDA METRO JAYA,,,,Perlindungan Konsumen,5
2024,POLDA METRO JAYA,,,,Persetubuhan Terhadap Anak / Cabul Terhadap Anak,1
2024,POLDA METRO JAYA,,,,Perzinahan,7
2024,POLDA METRO JAYA,,,,Psikotropika ( Narkoba ),1
2024,POLDA METRO JAYA,,,,Sengaja Menimbulkan Kebakaran/banjir (pembakaran),1
2024,POLDA METRO JAYA,,,,Sumpah Palsu Dan Keterangan Palsu,4
2024,POLDA METRO JAYA,,,,Terhadap ketertiban umum,3
2024,POLDA METRO JAYA,,,,Tindak Pidana Dalam Perlindungan Anak,27
2024,POLDA METRO JAYA,,,,Tindak Pidana Pencucian Uang ( TPPU / Money Laundering),1
2024,POLDA METRO JAYA,,,,Tindak Pidana Transfer Dana,3
2024,POLDA METRO JAYA,,,CAKUNG,,20
2024,POLDA METRO JAYA,,,CAKUNG,Kejahatan Tentang Desain Industri,1
2024,POLDA METRO JAYA,,,CAKUNG,Kejahatan Terkait Perlindungan Data Pribadi,1
2024,POLDA METRO JAYA,,,CAKUNG,Manipulasi data autentik secara elektronik (ITE),7
2024,POLDA METRO JAYA,,,CAKUNG,Narkotika ( Narkoba ),2
2024,POLDA METRO JAYA,,,CAKUNG,Pemalsuan Surat Otentik,1
2024,POLDA METRO JAYA,,,CAKUNG,Penadahan,1
2024,POLDA METRO JAYA,,,CAKUNG,Pencurian Biasa,1
2024,POLDA METRO JAYA,,,CAKUNG,Penggelapan,3
2024,POLDA METRO JAYA,,,CAKUNG,Penipuan / Perbuatan Curang,3
2024,POLDA METRO JAYA,,,CAKUNG,Sumpah Palsu Dan Keterangan Palsu,1
2024,POLDA METRO JAYA,,,CEMPAKA PUTIH,,13
2024,POLDA METRO JAYA,,,CEMPAKA PUTIH,Manipulasi data autentik secara elektronik (ITE),4
2024,POLDA METRO JAYA,,,CEMPAKA PUTIH,Pemalsuan Surat Otentik,2
2024,POLDA METRO JAYA,,,CEMPAKA PUTIH,Penculikan,1
2024,POLDA METRO JAYA,,,CEMPAKA PUTIH,Pencurian Biasa,1
2024,POLDA METRO JAYA,,,CEMPAKA PUTIH,Pencurian Dengan Pemberatan ( Curat ),1
2024,POLDA METRO JAYA,,,CEMPAKA PUTIH,Penggelapan,1
2024,POLDA METRO JAYA,,,CEMPAKA PUTIH,Penipuan / Perbuatan Curang,6
2024,POLDA METRO JAYA,,,CENGKARENG,,29
2024,POLDA METRO JAYA,,,CENGKARENG,Kejahatan Tentang Tenaga Kerja,1
2024,POLDA METRO JAYA,,,CENGKARENG,Kejahatan Terkait Merek,1
2024,POLDA METRO JAYA,,,CENGKARENG,Manipulasi data autentik secara elektronik (ITE),8
2024,POLDA METRO JAYA,,,CENGKARENG,Narkotika ( Narkoba ),6
2024,POLDA METRO JAYA,,,CENGKARENG,Pencurian Biasa,1
2024,POLDA METRO JAYA,,,CENGKARENG,Penganiayaan,1
2024,POLDA METRO JAYA,,,CENGKARENG,Penganiayaan Berat ( Anirat ),1
2024,POLDA METRO JAYA,,,CENGKARENG,Penggelapan,3
2024,POLDA METRO JAYA,,,CENGKARENG,Penipuan / Perbuatan Curang,5
2024,POLDA METRO JAYA,,,CENGKARENG,Penyerobotan Tanah,1
2024,POLDA METRO JAYA,,,CILANDAK,,30
2024,POLDA METRO JAYA,,,CILANDAK,Kejahatan Tentang Jaminan Fidusia,2
2024,POLDA METRO JAYA,,,CILANDAK,Kejahatan terkait Tenaga Kesehatan,1
2024,POLDA METRO JAYA,,,CILANDAK,Kekerasan Dalam Rumah Tangga,1
2024,POLDA METRO JAYA,,,CILANDAK,Kekerasan Seksual (KDRT),1
2024,POLDA METRO JAYA,,,CILANDAK,Manipulasi data autentik secara elektronik (ITE),9
2024,POLDA METRO JAYA,,,CILANDAK,Memasuki Pekarangan Tanpa Ijin,1
2024,POLDA METRO JAYA,,,CILANDAK,Narkotika ( Narkoba ),1
2024,POLDA METRO JAYA,,,CILANDAK,Pencemaran Nama Baik,1
2024,POLDA METRO JAYA,,,CILANDAK,Penggelapan,8
2024,POLDA METRO JAYA,,,CILANDAK,Penipuan / Perbuatan Curang,8
2024,POLDA METRO JAYA,,,CILANDAK,Penistaan Agama,1
2024,POLDA METRO JAYA,,,CILANDAK,Perbankan,1
2024,POLDA METRO JAYA,,,CILANDAK,Tindak Pidana Dalam Perlindungan Anak,1
2024,POLDA METRO JAYA,,,CILINCING,,14
2024,POLDA METRO JAYA,,,CILINCING,Kekerasan Dalam Rumah Tangga,1
2024,POLDA METRO JAYA,,,CILINCING,Kekerasan Seksual (KDRT),1
2024,POLDA METRO JAYA,,,CILINCING,Manipulasi data autentik secara elektronik (ITE),2
2024,POLDA METRO JAYA,,,CILINCING,Narkotika ( Narkoba ),1
2024,POLDA METRO JAYA,,,CILINCING,Pencurian Dengan Pemberatan ( Curat ),1
2024,POLDA METRO JAYA,,,CILINCING,Penganiayaan,2
2024,POLDA METRO JAYA,,,CILINCING,Penggelapan,2
2024,POLDA METRO JAYA,,,CILINCING,Penipuan / Perbuatan Curang,3
2024,POLDA METRO JAYA,,,CIPAYUNG,,11
2024,POLDA METRO JAYA,,,CIPAYUNG,Kekerasan Dalam Rumah Tangga,1
2024,POLDA METRO JAYA,,,CIPAYUNG,Manipulasi data autentik secara elektronik (ITE),3
2024,POLDA METRO JAYA,,,CIPAYUNG,Memasuki Pekarangan Tanpa Ijin,1
2024,POLDA METRO JAYA,,,CIPAYUNG,Narkotika ( Narkoba ),1
2024,POLDA METRO JAYA,,,CIPAYUNG,Pencurian Biasa,1
2024,POLDA METRO JAYA,,,CIPAYUNG,Pencurian Dengan Pemberatan ( Curat ),1
2024,POLDA METRO JAYA,,,CIPAYUNG,Penggelapan,4
2024,POLDA METRO JAYA,,,CIPAYUNG,Penipuan / Perbuatan Curang,3
2024,POLDA METRO JAYA,,,CIPAYUNG,Penyerobotan Tanah,1
2024,POLDA METRO JAYA,,,CIPAYUNG,Perbankan,1
2024,POLDA METRO JAYA,,,CIRACAS,,12
2024,POLDA METRO JAYA,,,CIRACAS,Manipulasi data autentik secara elektronik (ITE),5
2024,POLDA METRO JAYA,,,CIRACAS,Pemalsuan Surat Otentik,2
2024,POLDA METRO JAYA,,,CIRACAS,Pemerasan,1
