jenis_kejahatan,crime_total,public_safety_severity,severity_level,public_safety_category
UNCLASSIFIED,7252,0,UNKNOWN,unknown
Pencurian Biasa,1897,2,MODERATE,property_crime
Penipuan / Perbuatan Curang,1782,1,LOW,regulatory_financial
Manipulasi data autentik secara elektronik (ITE),1462,1,LOW,regulatory_financial
Penggelapan,1238,1,LOW,regulatory_financial
Pencurian Dengan Pemberatan ( Curat ),1024,2,MODERATE,property_crime
Penganiayaan,968,3,HIGH,physical_violence
Narkotika ( Narkoba ),917,2,MODERATE,controlled_substances
Pengeroyokan,404,3,HIGH,physical_violence
Pencemaran Nama Baik,396,1,LOW,private_or_nonpublic_harm
Kekerasan Dalam Rumah Tangga,219,1,LOW,private_or_nonpublic_harm
Curanmor R-2,218,2,MODERATE,property_crime
Pengancaman,158,3,HIGH,threat_coercion
Kejahatan Terkait Perlindungan Data Pribadi,113,1,LOW,regulatory_financial
Pemalsuan Surat Otentik,89,1,LOW,regulatory_financial
Memasuki Pekarangan Tanpa Ijin,85,2,MODERATE,property_crime
Pencurian Dengan Kekerasan ( Curas ),84,4,CRITICAL,violent_property_crime
Perbuatan Yang Tidak Menyenangkan,67,1,LOW,private_or_nonpublic_harm
Tindak Pidana Dalam Perlindungan Anak,66,2,MODERATE,vulnerable_person_harm
Pemerasan,64,3,HIGH,threat_coercion
Penganiayaan Berat ( Anirat ),63,4,CRITICAL,physical_violence
Pemerasan Dan Pengancaman,62,3,HIGH,threat_coercion
Pencurian Ringan,61,1,LOW,property_crime
Perzinahan,58,1,LOW,private_or_nonpublic_harm
Menjual atau mengedarkan obat keras / bebas terbatas tanpa ijin,56,2,MODERATE,controlled_substances
Terhadap ketertiban umum,51,2,MODERATE,public_disorder
Cabul,49,4,CRITICAL,sexual_violence
Kejahatan terkait Tenaga Kesehatan,48,1,LOW,regulatory_financial
Kejahatan Terkait Senjata Tajam ( Sajam ) ( Premanisme ),47,3,HIGH,weapons_threat
Pengerusakan,47,2,MODERATE,property_crime
Percobaan Pencurian,46,2,MODERATE,property_crime
Penghinaan,45,1,LOW,private_or_nonpublic_harm
Sumpah Palsu Dan Keterangan Palsu,38,1,LOW,regulatory_financial
Perkosaan,33,4,CRITICAL,sexual_violence
Kekerasan Seksual (KDRT),32,1,LOW,private_or_nonpublic_harm
Kejahatan Tentang Pornografi,29,1,LOW,private_or_nonpublic_harm
Penyerobotan Tanah,28,2,MODERATE,property_crime
Perbankan,23,1,LOW,regulatory_financial
Kejahatan Tentang Jaminan Fidusia,22,1,LOW,regulatory_financial
Tindak Pidana Transfer Dana,18,1,LOW,regulatory_financial
Kejahatan Terkait Merek,16,1,LOW,regulatory_financial
Kejahatan Tentang Minyak Dan Gas  ( MIGAS ),15,1,LOW,regulatory_financial
Penadahan,14,1,LOW,property_crime
Judi,12,1,LOW,regulatory_financial
Kejahatan Tentang Tenaga Kerja,12,1,LOW,regulatory_financial
