year,polda,polres,polsek,kecamatan,jenis_kejahatan,crime_total,reason
2024,POLDA METRO JAYA,,,,,1,blank kecamatan
2024,POLDA METRO JAYA,,,,Cukai,1,blank kecamatan
2024,POLDA METRO JAYA,,,,Curanmor R-2,5,blank kecamatan
2024,POLDA METRO JAYA,,,,Hak Atas Kekayaan Intelektual ( HAKI ),8,blank kecamatan
2024,POLDA METRO JAYA,,,,Illegal Fishing,12,blank kecamatan
2024,POLDA METRO JAYA,,,,Judi,5,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan Pasar Modal,1,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan Tentang Desain Industri,1,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan Tentang Jaminan Fidusia,5,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan Tentang Konservasi Sumber Daya Alam Hayati Dan Ekosistem,1,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan Tentang Minyak Dan Gas  ( MIGAS ),3,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan Tentang Perdagangan,8,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan Tentang Perindustrian,2,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan Tentang Tenaga Kerja,14,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan Terhadap Jiwa Orang / Pembunuhan,2,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan Terhadap Penguasa Umum,1,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan Terkait Kearsipan,1,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan Terkait Merek,15,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan Terkait Perlindungan Data Pribadi,3,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan Terkait Rahasia Dagang,1,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan Terkait Senjata Tajam ( Sajam ),1,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan terkait Pemilihan Umum,2,blank kecamatan
2024,POLDA METRO JAYA,,,,Kejahatan terkait Tenaga Kesehatan,4,blank kecamatan
2024,POLDA METRO JAYA,,,,Kekerasan Dalam Rumah Tangga,11,blank kecamatan
2024,POLDA METRO JAYA,,,,Kekerasan Seksual (KDRT),15,blank kecamatan
2024,POLDA METRO JAYA,,,,"Konflik Suku, Agama, Ras, dan Antar Golongan (SARA)",2,blank kecamatan
2024,POLDA METRO JAYA,,,,Korupsi ( Tipikor ),2,blank kecamatan
2024,POLDA METRO JAYA,,,,Manipulasi data autentik secara elektronik (ITE),959,blank kecamatan
2024,POLDA METRO JAYA,,,,Memasuki Pekarangan Tanpa Ijin,10,blank kecamatan
2024,POLDA METRO JAYA,,,,Mengakibatkan Orang Luka,6,blank kecamatan
2024,POLDA METRO JAYA,,,,Mengakibatkan Orang Mati,3,blank kecamatan
2024,POLDA METRO JAYA,,,,Menghambat Penyidikan,1,blank kecamatan
2024,POLDA METRO JAYA,,,,Menjual atau mengedarkan obat keras / bebas terbatas tanpa ijin,1,blank kecamatan
2024,POLDA METRO JAYA,,,,Narkotika ( Narkoba ),263,blank kecamatan
2024,POLDA METRO JAYA,,,,Pemalsuan Mata Uang Dan Uang Kertas,2,blank kecamatan
2024,POLDA METRO JAYA,,,,Pemalsuan Surat Otentik,100,blank kecamatan
2024,POLDA METRO JAYA,,,,Pemerasan Dan Pengancaman,10,blank kecamatan
2024,POLDA METRO JAYA,,,,Penadahan,2,blank kecamatan
2024,POLDA METRO JAYA,,,,Pencemaran Nama Baik,12,blank kecamatan
2024,POLDA METRO JAYA,,,,Pencurian Biasa,49,blank kecamatan
2024,POLDA METRO JAYA,,,,Pencurian Dengan Kekerasan ( Curas ),8,blank kecamatan
2024,POLDA METRO JAYA,,,,Pencurian Dengan Pemberatan ( Curat ),62,blank kecamatan
2024,POLDA METRO JAYA,,,,Pencurian dalam lingkungan keluarga,2,blank kecamatan
2024,POLDA METRO JAYA,,,,Pengaduan Palsu,10,blank kecamatan
2024,POLDA METRO JAYA,,,,Pengancaman,3,blank kecamatan
2024,POLDA METRO JAYA,,,,Penganiayaan,15,blank kecamatan
2024,POLDA METRO JAYA,,,,Penganiayaan Berat ( Anirat ),2,blank kecamatan
2024,POLDA METRO JAYA,,,,Pengeroyokan,11,blank kecamatan
2024,POLDA METRO JAYA,,,,Pengerusakan,9,blank kecamatan
2024,POLDA METRO JAYA,,,,Penggelapan,156,blank kecamatan
2024,POLDA METRO JAYA,,,,Penghinaan,2,blank kecamatan
2024,POLDA METRO JAYA,,,,Penipuan / Perbuatan Curang,412,blank kecamatan
2024,POLDA METRO JAYA,,,,Penistaan Agama,2,blank kecamatan
2024,POLDA METRO JAYA,,,,Penyalahgunaan Wewenang,1,blank kecamatan
2024,POLDA METRO JAYA,,,,Penyebaran Berita Bohong ( Hoax ),2,blank kecamatan
2024,POLDA METRO JAYA,,,,Penyekapan,3,blank kecamatan
2024,POLDA METRO JAYA,,,,Penyerobotan Tanah,4,blank kecamatan
2024,POLDA METRO JAYA,,,,Perampasan ( Premanisme ),3,blank kecamatan
2024,POLDA METRO JAYA,,,,Perbankan,7,blank kecamatan
2024,POLDA METRO JAYA,,,,Perbuatan Yang Tidak Menyenangkan,4,blank kecamatan
2024,POLDA METRO JAYA,,,,Perdagangan Manusia / Trafficking In Person / Tppo (dalam Negeri),2,blank kecamatan
2024,POLDA METRO JAYA,,,,Perlindungan Konsumen,5,blank kecamatan
2024,POLDA METRO JAYA,,,,Persetubuhan Terhadap Anak / Cabul Terhadap Anak,1,blank kecamatan
2024,POLDA METRO JAYA,,,,Perzinahan,7,blank kecamatan
2024,POLDA METRO JAYA,,,,Psikotropika ( Narkoba ),1,blank kecamatan
2024,POLDA METRO JAYA,,,,Sengaja Menimbulkan Kebakaran/banjir (pembakaran),1,blank kecamatan
2024,POLDA METRO JAYA,,,,Sumpah Palsu Dan Keterangan Palsu,4,blank kecamatan
2024,POLDA METRO JAYA,,,,Terhadap ketertiban umum,3,blank kecamatan
2024,POLDA METRO JAYA,,,,Tindak Pidana Dalam Perlindungan Anak,27,blank kecamatan
2024,POLDA METRO JAYA,,,,Tindak Pidana Pencucian Uang ( TPPU / Money Laundering),1,blank kecamatan
2024,POLDA METRO JAYA,,,,Tindak Pidana Transfer Dana,3,blank kecamatan
2024,POLDA METRO JAYA,,,CAKUNG,,20,blank crime type
2024,POLDA METRO JAYA,,,CEMPAKA PUTIH,,13,blank crime type
2024,POLDA METRO JAYA,,,CENGKARENG,,29,blank crime type
2024,POLDA METRO JAYA,,,CILANDAK,,30,blank crime type
2024,POLDA METRO JAYA,,,CILINCING,,14,blank crime type
2024,POLDA METRO JAYA,,,CIPAYUNG,,11,blank crime type
2024,POLDA METRO JAYA,,,CIRACAS,,12,blank crime type
2024,POLDA METRO JAYA,,,DUREN SAWIT,,24,blank crime type
2024,POLDA METRO JAYA,,,GAMBIR,,26,blank crime type
2024,POLDA METRO JAYA,,,GROGOL PETAMBURAN,,38,blank crime type
2024,POLDA METRO JAYA,,,JAGAKARSA,,39,blank crime type
2024,POLDA METRO JAYA,,,JATINEGARA,,11,blank crime type
2024,POLDA METRO JAYA,,,JOHAR BARU,,5,blank crime type
2024,POLDA METRO JAYA,,,KALI DERES,,12,blank crime type
2024,POLDA METRO JAYA,,,KEBAYORAN BARU,,101,blank crime type
2024,POLDA METRO JAYA,,,KEBAYORAN LAMA,,43,blank crime type
2024,POLDA METRO JAYA,,,KEBON JERUK,,23,blank crime type
2024,POLDA METRO JAYA,,,KELAPA GADING,,33,blank crime type
2024,POLDA METRO JAYA,,,KEMAYORAN,,23,blank crime type
2024,POLDA METRO JAYA,,,KEMBANGAN,,25,blank crime type
2024,POLDA METRO JAYA,,,KEPULAUAN SERIBU SELATAN,,3,blank crime type
2024,POLDA METRO JAYA,,,KOJA,,2,blank crime type
2024,POLDA METRO JAYA,,,KRAMAT JATI,,15,blank crime type
2024,POLDA METRO JAYA,,,MAKASAR,,8,blank crime type
2024,POLDA METRO JAYA,,,MAMPANG PRAPATAN,,28,blank crime type
2024,POLDA METRO JAYA,,,MATRAMAN,,8,blank crime type
2024,POLDA METRO JAYA,,,MENTENG,,38,blank crime type
2024,POLDA METRO JAYA,,,PADEMANGAN,,12,blank crime type
2024,POLDA METRO JAYA,,,PALMERAH,,42,blank crime type
2024,POLDA METRO JAYA,,,PANCORAN,,46,blank crime type
2024,POLDA METRO JAYA,,,PASAR MINGGU,,37,blank crime type
2024,POLDA METRO JAYA,,,PASAR REBO,,9,blank crime type
2024,POLDA METRO JAYA,,,PENJARINGAN,,47,blank crime type
2024,POLDA METRO JAYA,,,PESANGGRAHAN,,15,blank crime type
2024,POLDA METRO JAYA,,,PULO GADUNG,,15,blank crime type
2024,POLDA METRO JAYA,,,SAWAH BESAR,,17,blank crime type
2024,POLDA METRO JAYA,,,SENEN,,20,blank crime type
2024,POLDA METRO JAYA,,,SETIA BUDI,,92,blank crime type
2024,POLDA METRO JAYA,,,TAMAN SARI,,21,blank crime type
2024,POLDA METRO JAYA,,,TAMBORA,,11,blank crime type
2024,POLDA METRO JAYA,,,TANAH ABANG,,76,blank crime type
2024,POLDA METRO JAYA,,,TANJUNG PRIOK,,22,blank crime type
2024,POLDA METRO JAYA,,,TEBET,,65,blank crime type
2024,POLDA METRO JAYA,POLRES KEPULAUAN SERIBU,,,Manipulasi data autentik secara elektronik (ITE),1,blank kecamatan
2024,POLDA METRO JAYA,POLRES KEPULAUAN SERIBU,,,Narkotika ( Narkoba ),124,blank kecamatan
2024,POLDA METRO JAYA,POLRES KEPULAUAN SERIBU,,,Pengeroyokan,1,blank kecamatan
2024,POLDA METRO JAYA,POLRES KEPULAUAN SERIBU,,,Pengerusakan,1,blank kecamatan
2024,POLDA METRO JAYA,POLRES KEPULAUAN SERIBU,,,Tindak Pidana Dalam Perlindungan Anak,2,blank kecamatan
2024,POLDA METRO JAYA,POLRES KEPULAUAN SERIBU,,CENGKARENG,,63,blank crime type
2024,POLDA METRO JAYA,POLRES KEPULAUAN SERIBU,,CILINCING,,2,blank crime type
2024,POLDA METRO JAYA,POLRES KEPULAUAN SERIBU,,DUREN SAWIT,,1,blank crime type
2024,POLDA METRO JAYA,POLRES KEPULAUAN SERIBU,,GROGOL PETAMBURAN,,2,blank crime type
2024,POLDA METRO JAYA,POLRES KEPULAUAN SERIBU,,JATINEGARA,,1,blank crime type
