kecamatan,kota,centroid_lat,centroid_lng,crime_total,street_crime,street_crime_evening,crime_year,public_safety_points,public_safety_points_per_100k,public_safety_evening_points,crime_classification_coverage,evening_classification_coverage,severity_2_count,severity_3_count,severity_4_count,evening_share,population,area_km2,pop_density_km2,lamp_count,lamps_per_km2,street_crime_per_100k,risk_score,risk_level,risk_policy_version
KEBAYORAN BARU,KOTA ADM. JAKARTA SELATAN,-6.24473,106.80144,1008,332,57,2026,586,395.3,108,0.7004,0.7098,262,84,12,0.1717,148241,12.75,11630.8,6540,513.1,224.0,0.9907,CRITICAL,jakarta-kecamatan-v2
KEMAYORAN,KOTA ADM. JAKARTA PUSAT,-6.1627,106.85582,911,366,100,2026,552,223.7,130,0.6894,0.662,321,63,7,0.2732,246798,7.2,34289.4,5324,739.7,148.3,0.9535,CRITICAL,jakarta-kecamatan-v2
CENGKARENG,KOTA ADM. JAKARTA BARAT,-6.15147,106.73685,680,189,42,2026,466,80.1,96,0.6456,0.6712,163,79,11,0.2222,581788,25.83,22525.8,8984,347.8,32.5,0.7744,HIGH,jakarta-kecamatan-v2
CAKUNG,KOTA ADM. JAKARTA TIMUR,-6.18848,106.94085,640,185,34,2026,459,78.8,113,0.6438,0.5833,126,79,16,0.1838,582327,41.44,14051.4,14884,359.1,31.8,0.7651,HIGH,jakarta-kecamatan-v2
TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,-6.13189,106.87497,586,168,26,2026,429,105.6,89,0.6416,0.5714,153,70,11,0.1548,406441,22.59,17990.3,10035,444.2,41.3,0.8116,HIGH,jakarta-kecamatan-v2
SETIA BUDI,KOTA ADM. JAKARTA SELATAN,-6.21962,106.82999,717,220,42,2026,421,372.1,89,0.6764,0.7143,172,69,7,0.1909,113147,8.96,12627.9,2971,331.6,194.4,0.9047,CRITICAL,jakarta-kecamatan-v2
JATINEGARA,KOTA ADM. JAKARTA TIMUR,-6.2273,106.87742,589,185,31,2026,381,119.5,78,0.6367,0.629,153,64,6,0.1676,318819,10.39,30683.9,7954,765.5,58.0,0.8047,HIGH,jakarta-kecamatan-v2
TANAH ABANG,KOTA ADM. JAKARTA PUSAT,-6.20543,106.80938,584,178,30,2026,374,226.4,67,0.6695,0.6807,161,53,9,0.1685,165179,10.09,16371.4,4725,468.3,107.8,0.8349,HIGH,jakarta-kecamatan-v2
DUREN SAWIT,KOTA ADM. JAKARTA TIMUR,-6.2325,106.92056,627,195,46,2026,348,78.1,95,0.6603,0.7321,162,50,6,0.2359,445443,22.17,20093.9,15821,713.7,43.8,0.6837,MEDIUM,jakarta-kecamatan-v2
KALI DERES,KOTA ADM. JAKARTA BARAT,-6.13461,106.7039,506,144,37,2026,345,74.3,81,0.6403,0.5873,114,57,10,0.2569,464076,29.1,15947.0,8957,307.8,31.0,0.6279,MEDIUM,jakarta-kecamatan-v2
PULO GADUNG,KOTA ADM. JAKARTA TIMUR,-6.1932,106.88901,448,135,23,2026,334,112.1,55,0.6696,0.6962,94,60,10,0.1704,297922,14.97,19901.9,11740,784.3,45.3,0.707,HIGH,jakarta-kecamatan-v2
GROGOL PETAMBURAN,KOTA ADM. JAKARTA BARAT,-6.16341,106.78649,610,153,41,2026,332,144.2,95,0.6639,0.6803,131,41,13,0.268,230173,10.88,21160.0,7634,701.8,66.5,0.7814,HIGH,jakarta-kecamatan-v2
