kecamatan,jenis_kejahatan,time_window,year
KEBAYORAN BARU,Curanmor R-2,05:00-07:59,2026
KEBAYORAN BARU,Curanmor R-2,05:00-07:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),05:00-07:59,2026
KEBAYORAN BARU,Mengakibatkan Orang Luka,05:00-07:59,2026
KEBAYORAN BARU,Pemerasan Dan Pengancaman,05:00-07:59,2026
KEBAYORAN BARU,Pencurian Biasa,05:00-07:59,2026
KEBAYORAN BARU,Pencurian Biasa,05:00-07:59,2026
KEBAYORAN BARU,Pencurian Biasa,05:00-07:59,2026
KEBAYORAN BARU,Pencurian Biasa,05:00-07:59,2026
KEBAYORAN BARU,Pencurian Biasa,05:00-07:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),05:00-07:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),05:00-07:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),05:00-07:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),05:00-07:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),05:00-07:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),05:00-07:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),05:00-07:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),05:00-07:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),05:00-07:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),05:00-07:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),05:00-07:59,2026
KEBAYORAN BARU,Penganiayaan,05:00-07:59,2026
KEBAYORAN BARU,Penggelapan,05:00-07:59,2026
KEBAYORAN BARU,Penipuan / Perbuatan Curang,05:00-07:59,2026
KEBAYORAN BARU,Penipuan / Perbuatan Curang,05:00-07:59,2026
KEBAYORAN BARU,Tindak Pidana Transfer Dana,05:00-07:59,2026
KEBAYORAN BARU,Curanmor R-2,08:00-11:59,2026
KEBAYORAN BARU,Curanmor R-2,08:00-11:59,2026
KEBAYORAN BARU,Curanmor R-2,08:00-11:59,2026
KEBAYORAN BARU,Curanmor R-2,08:00-11:59,2026
KEBAYORAN BARU,Curanmor R-2,08:00-11:59,2026
KEBAYORAN BARU,Curanmor R-2,08:00-11:59,2026
KEBAYORAN BARU,Kejahatan Tentang Jaminan Fidusia,08:00-11:59,2026
KEBAYORAN BARU,Kejahatan Terkait Perlindungan Data Pribadi,08:00-11:59,2026
KEBAYORAN BARU,Kekerasan Dalam Rumah Tangga,08:00-11:59,2026
KEBAYORAN BARU,Kekerasan Dalam Rumah Tangga,08:00-11:59,2026
KEBAYORAN BARU,Kekerasan Dalam Rumah Tangga,08:00-11:59,2026
KEBAYORAN BARU,Kekerasan Seksual (KDRT),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Manipulasi data autentik secara elektronik (ITE),08:00-11:59,2026
KEBAYORAN BARU,Memasuki Pekarangan Tanpa Ijin,08:00-11:59,2026
KEBAYORAN BARU,Memasuki Pekarangan Tanpa Ijin,08:00-11:59,2026
KEBAYORAN BARU,Narkotika ( Narkoba ),08:00-11:59,2026
KEBAYORAN BARU,Narkotika ( Narkoba ),08:00-11:59,2026
KEBAYORAN BARU,Narkotika ( Narkoba ),08:00-11:59,2026
KEBAYORAN BARU,Pencemaran Nama Baik,08:00-11:59,2026
KEBAYORAN BARU,Pencemaran Nama Baik,08:00-11:59,2026
KEBAYORAN BARU,Pencemaran Nama Baik,08:00-11:59,2026
KEBAYORAN BARU,Pencemaran Nama Baik,08:00-11:59,2026
KEBAYORAN BARU,Pencemaran Nama Baik,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Biasa,08:00-11:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),08:00-11:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),08:00-11:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),08:00-11:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),08:00-11:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),08:00-11:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),08:00-11:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),08:00-11:59,2026
KEBAYORAN BARU,Pencurian Dengan Pemberatan ( Curat ),08:00-11:59,2026
KEBAYORAN BARU,Pengancaman,08:00-11:59,2026
KEBAYORAN BARU,Pengancaman,08:00-11:59,2026
KEBAYORAN BARU,Penganiayaan,08:00-11:59,2026
KEBAYORAN BARU,Penganiayaan,08:00-11:59,2026
KEBAYORAN BARU,Penganiayaan,08:00-11:59,2026
KEBAYORAN BARU,Penganiayaan,08:00-11:59,2026
KEBAYORAN BARU,Pengeroyokan,08:00-11:59,2026
KEBAYORAN BARU,Pengerusakan,08:00-11:59,2026
KEBAYORAN BARU,Penggelapan,08:00-11:59,2026
