jenis_kejahatan,crime_total
Penipuan / Perbuatan Curang,4576
Pencurian Dengan Pemberatan ( Curat ),3333
Pencurian Biasa,3280
Manipulasi data autentik secara elektronik (ITE),3206
Penggelapan,2346
Narkotika ( Narkoba ),2319
Penganiayaan,1889
Curanmor R-2,1007
Pengeroyokan,881
Kekerasan Dalam Rumah Tangga,869
Pencemaran Nama Baik,769
Menjual atau mengedarkan obat keras / bebas terbatas tanpa ijin,381
Tindak Pidana Dalam Perlindungan Anak,336
Pengancaman,305
Pemalsuan Surat Otentik,239
Kejahatan Terkait Perlindungan Data Pribadi,208
Memasuki Pekarangan Tanpa Ijin,203
Penganiayaan Berat ( Anirat ),199
Kejahatan terkait Tenaga Kesehatan,190
Pemerasan Dan Pengancaman,178
Cabul,177
Pencurian Dengan Kekerasan ( Curas ),170
Perzinahan,170
Perbuatan Yang Tidak Menyenangkan,135
Kejahatan Terkait Senjata Tajam ( Sajam ) ( Premanisme ),131
Kejahatan Tentang Jaminan Fidusia,128
Pemerasan,128
Pengerusakan,126
Kekerasan Seksual (KDRT),118
Perkosaan,109
Penghinaan,108
Pencurian Ringan,102
Percobaan Pencurian,85
Kejahatan Tentang Pornografi,81
Terhadap ketertiban umum,81
Penyerobotan Tanah,73
Sumpah Palsu Dan Keterangan Palsu,69
Persetubuhan Terhadap Anak / Cabul Terhadap Anak,67
Kejahatan Terkait Merek,62
Perampasan ( Premanisme ),42
Tindak Pidana Transfer Dana,40
Kejahatan Tentang Minyak Dan Gas  ( MIGAS ),34
Perbankan,34
Judi,31
Penadahan,31
Pencurian dalam lingkungan keluarga,25
Pengaduan Palsu,24
Kejahatan Terhadap Jiwa Orang / Pembunuhan,23
Kawin halangan/kawin tanpa ijin,22
Kejahatan Tentang Tenaga Kerja,22
Perlindungan Konsumen,21
Sengaja Menimbulkan Kebakaran/banjir (pembakaran),20
Penculikan,18
Mengakibatkan Orang Mati,16
Kejahatan tentang perlindungan pekerja migran indonesia,14
Karena Alpa  Menimbulkan  Kebakaran/ Meletus/banjir,13
Psikotropika ( Narkoba ),13
Penistaan Agama,12
Penyekapan,12
Mengakibatkan Orang Luka,11
